,ADANIENT_Volume,ADANIENT_Close,ADANIPORTS_Volume,ADANIPORTS_Close,APOLLOHOSP_Volume,APOLLOHOSP_Close,ASIANPAINT_Volume,ASIANPAINT_Close,AXISBANK_Volume,AXISBANK_Close,BAJFINANCE_Volume,BAJFINANCE_Close,BAJAJFINSV_Volume,BAJAJFINSV_Close,BHARTIARTL_Volume,BHARTIARTL_Close,BPCL_Volume,BPCL_Close,BRITANNIA_Volume,BRITANNIA_Close,CIPLA_Volume,CIPLA_Close,COALINDIA_Volume,COALINDIA_Close,DIVISLAB_Volume,DIVISLAB_Close,DRREDDY_Volume,DRREDDY_Close,EICHERMOT_Volume,EICHERMOT_Close,GRASIM_Volume,GRASIM_Close,HCLTECH_Volume,HCLTECH_Close,HDFC_Volume,HDFC_Close,HDFCBANK_Volume,HDFCBANK_Close,HDFCLIFE_Volume,HDFCLIFE_Close,HEROMOTOCO_Volume,HEROMOTOCO_Close,HINDALCO_Volume,HINDALCO_Close,HINDUNILVR_Volume,HINDUNILVR_Close,ICICIBANK_Volume,ICICIBANK_Close,INDUSINDBK_Volume,INDUSINDBK_Close,INFY_Volume,INFY_Close,ITC_Volume,ITC_Close,JSWSTEEL_Volume,JSWSTEEL_Close,KOTAKBANK_Volume,KOTAKBANK_Close,LT_Volume,LT_Close,MARUTI_Volume,MARUTI_Close,NESTLEIND_Volume,NESTLEIND_Close,NTPC_Volume,NTPC_Close,ONGC_Volume,ONGC_Close,POWERGRID_Volume,POWERGRID_Close,RELIANCE_Volume,RELIANCE_Close,SBIN_Volume,SBIN_Close,SBILIFE_Volume,SBILIFE_Close,SUNPHARMA_Volume,SUNPHARMA_Close,TATAMOTORS_Volume,TATAMOTORS_Close,TATASTEEL_Volume,TATASTEEL_Close,TCS_Volume,TCS_Close,TECHM_Volume,TECHM_Close,TITAN_Volume,TITAN_Close,ULTRACEMCO_Volume,ULTRACEMCO_Close,WIPRO_Volume,WIPRO_Close,BAJAJ_AUTO_Volume,BAJAJ_AUTO_Close,MM_Volume,MM_Close,NIFTY_50_Volume,NIFTY_50_Close,Label
234,2605288.0,193.9,3766465.0,144.4,42161.0,891.65,702992.0,513.7,1672162.0,1190.75,12533.0,1285.8,23793.0,637.05,2354292.0,343.5,1071925.0,348.8,108655.0,929.0,871750.0,415.5,2533958.0,278.95,275498.0,974.85,241908.0,2405.5,1781.0,3932.45,86496.0,2731.65,1527480.0,1078.75,1613485.0,809.8,2236718.0,672.55,451965.0,369.8,244819.0,2035.4,11030631.0,109.2,1885723.0,593.95,6394905.0,1022.2,2120328.0,424.85,751418.0,3331.55,5868246.0,340.05,917456.0,850.4,1061537.0,704.9,2215973.0,947.5,432129.0,1508.7,10914.0,5533.2,1721578.0,145.2,2524755.0,283.95,2970792.0,100.2,2273430.0,887.0,1422314.0,1720.95,125634.0,676.0,1999798.0,610.85,2965203.0,376.25,5506656.0,321.85,1263701.0,2067.75,2064814.0,1541.4,2163383.0,244.15,112066.0,1949.5,3707763.0,481.1,387226.0,2080.6,1110914.0,867.75,144531462.0,6144.9,1
235,4194887.0,207.25,2508923.0,145.1,30896.0,876.7,1054082.0,501.55,2962108.0,1191.5,3615.0,1274.4,11620.0,630.9,2073537.0,339.4,897909.0,346.8,112311.0,920.8,551183.0,411.75,1676949.0,276.55,70565.0,966.6,149803.0,2400.0,1904.0,3881.65,100870.0,2688.8,884909.0,1062.85,1410915.0,820.85,2095522.0,667.9,386859.0,372.3,189905.0,2002.55,7039471.0,107.05,2756152.0,589.25,3391418.0,1015.0,2647268.0,412.25,426556.0,3323.45,13467540.0,327.95,958335.0,859.15,631086.0,708.5,2421496.0,965.4,919522.0,1513.35,16085.0,5576.0,1466924.0,144.05,2012804.0,286.8,2973981.0,98.75,3514321.0,890.75,1306001.0,1675.4,391766.0,676.6,1382259.0,603.85,3421077.0,377.6,6896640.0,312.3,901971.0,2063.95,827873.0,1515.1,2748272.0,250.8,128024.0,1944.1,1949379.0,483.85,319532.0,2070.6,1087032.0,868.9,146340691.0,6101.1,1
236,3205241.0,212.6,3491805.0,145.1,129111.0,897.35,1519476.0,519.0,4362341.0,1250.4,73612.0,1289.5,23816.0,625.75,2270440.0,341.2,1261534.0,351.25,94238.0,929.3,1093035.0,417.75,1516155.0,281.15,264551.0,991.15,568355.0,2429.35,2555.0,3902.05,183394.0,2796.8,1130903.0,1080.6,2433473.0,839.6,3805729.0,686.5,1073936.0,372.5,304271.0,2061.95,6557724.0,110.25,1111250.0,604.65,5332418.0,1074.65,3912100.0,435.15,650049.0,3335.6,11374021.0,327.9,1769749.0,862.5,1460290.0,733.05,2742849.0,977.05,4085346.0,1635.25,21207.0,5592.25,3137870.0,146.05,2588383.0,290.6,3986029.0,100.4,3303172.0,896.8,3014606.0,1740.45,232965.0,673.3,1702397.0,617.95,5667639.0,381.65,7791933.0,325.85,914538.0,2069.8,403912.0,1522.35,2516997.0,255.15,151516.0,1986.35,2291411.0,486.55,432986.0,2094.05,1278135.0,900.7,197348371.0,6220.9,0
237,2762115.0,211.05,1799363.0,146.45,68513.0,899.9,1579868.0,528.25,2716462.0,1221.9,64254.0,1316.25,32665.0,627.8,19754366.0,360.0,919724.0,361.65,85817.0,944.7,927553.0,419.4,1131324.0,282.25,304339.0,972.9,602479.0,2523.15,1746.0,3892.8,163430.0,2809.95,927366.0,1085.95,5509041.0,849.45,2547168.0,679.35,2557300.0,386.6,194154.0,2075.1,7013388.0,113.45,776963.0,613.65,5197880.0,1099.0,3246632.0,447.2,698886.0,3323.9,10468837.0,333.1,813108.0,848.9,636429.0,738.1,1965939.0,971.45,951167.0,1636.65,23304.0,5597.35,4087924.0,147.25,1609883.0,288.6,1850330.0,100.15,2197777.0,898.15,1446642.0,1721.05,717060.0,670.05,1014012.0,618.5,5324966.0,379.6,4944868.0,326.6,1057437.0,2091.95,681647.0,1555.35,978936.0,256.2,196038.0,1970.95,2473936.0,476.75,270065.0,2136.7,1282061.0,895.85,177583848.0,6251.7,0
238,3767903.0,207.65,1905129.0,145.5,187901.0,908.85,1791990.0,539.45,3142317.0,1222.7,57549.0,1353.05,23142.0,638.1,10451477.0,367.1,1192125.0,359.55,79108.0,939.55,1884285.0,413.2,2379392.0,287.95,384891.0,972.5,1432818.0,2456.4,10715.0,3957.85,111083.0,2815.05,1873622.0,1095.35,4891246.0,855.05,4548889.0,680.8,2065266.0,399.15,369347.0,2078.4,8231615.0,115.05,1568688.0,609.85,5649351.0,1120.95,1663042.0,445.6,1210943.0,3309.9,10967902.0,335.0,1492456.0,861.45,1146688.0,752.45,2799806.0,973.7,760636.0,1636.2,47672.0,5596.95,5675573.0,149.1,6814585.0,293.7,4640098.0,101.3,4521314.0,914.7,3345951.0,1796.75,1979234.0,642.65,1637900.0,608.8,9109644.0,381.15,6259016.0,334.9,1761538.0,2112.05,476798.0,1551.05,4134730.0,267.2,190493.0,1966.85,3774672.0,477.7,313985.0,2129.9,1406218.0,887.85,239607127.0,6299.15,0
239,1879537.0,203.85,2084157.0,144.85,86555.0,893.4,1033935.0,542.8,2851713.0,1218.9,38014.0,1367.35,90004.0,649.0,5371490.0,367.2,730910.0,355.8,66425.0,939.95,576321.0,416.3,2450234.0,292.05,238989.0,977.5,447409.0,2471.3,14014.0,3982.8,72285.0,2819.15,1303114.0,1103.1,3546371.0,855.4,3910611.0,683.8,1231518.0,397.65,565276.0,2101.6,6356485.0,115.2,636680.0,608.9,3368659.0,1133.45,1811465.0,449.15,770838.0,3276.7,6893687.0,328.05,1147605.0,865.35,1172980.0,748.5,2312791.0,982.2,733492.0,1636.15,58751.0,5716.0,2510500.0,146.25,2271970.0,287.8,5409322.0,97.9,2718063.0,908.25,3419776.0,1879.0,350633.0,623.0,1261388.0,604.6,4489619.0,384.6,4538791.0,336.15,673240.0,2097.6,634813.0,1525.85,4424540.0,261.65,91518.0,1962.5,1303432.0,482.55,314887.0,2124.9,2959129.0,925.3,191639789.0,6307.2,0
240,174336.0,203.65,161874.0,144.55,8413.0,898.05,173340.0,538.15,236741.0,1219.3,5481.0,1368.45,13625.0,656.8,279832.0,365.3,188745.0,364.5,14034.0,948.6,145233.0,418.0,146312.0,291.9,23032.0,989.2,39389.0,2481.4,1440.0,3948.05,8847.0,2802.3,49578.0,1100.3,176489.0,852.8,202348.0,680.45,279874.0,403.6,31215.0,2111.15,925060.0,115.9,86114.0,607.85,404216.0,1131.4,248212.0,447.6,50502.0,3279.4,988356.0,330.6,95719.0,864.85,52452.0,743.6,391416.0,979.45,111953.0,1650.0,4556.0,5757.4,156758.0,146.6,330299.0,289.55,335031.0,98.4,425619.0,908.7,525400.0,1886.3,208275.0,612.45,205873.0,609.9,1801390.0,391.0,929328.0,338.85,65452.0,2099.0,113088.0,1550.55,272721.0,262.35,7864.0,1959.65,221513.0,485.05,19187.0,2127.7,149506.0,919.05,23856924.0,6317.35,0
241,2549620.0,210.25,6256796.0,151.85,124874.0,913.15,1376974.0,548.2,3547680.0,1227.0,51901.0,1341.1,43521.0,665.95,5387008.0,359.6,2527080.0,372.9,35262.0,932.55,1198094.0,420.65,1611993.0,296.4,269153.0,984.25,269502.0,2406.3,10348.0,3986.9,24623.0,2787.35,792787.0,1101.0,2863157.0,859.45,3564618.0,676.25,1078490.0,401.35,191658.0,2093.25,5356086.0,117.7,754610.0,595.95,3963147.0,1096.0,1863758.0,454.65,665029.0,3265.85,13008599.0,319.0,778527.0,866.95,845503.0,745.4,2209438.0,967.4,491093.0,1623.25,29934.0,5732.85,3011202.0,147.25,3314690.0,283.85,9994108.0,95.15,2504263.0,909.7,2188885.0,1875.95,1139496.0,613.35,1834400.0,591.85,9064304.0,395.3,4456687.0,338.95,1130643.0,2042.0,677332.0,1519.1,1232084.0,258.65,51326.0,1951.1,1361604.0,480.1,336581.0,2092.0,1026415.0,906.65,181053761.0,6253.15,0
242,1752669.0,209.4,2318436.0,150.9,40227.0,897.1,1527805.0,552.35,2382580.0,1213.0,17663.0,1373.2,46017.0,668.35,5280322.0,355.6,1308138.0,369.85,76440.0,944.2,1264818.0,424.65,1987170.0,298.8,280771.0,1029.65,203325.0,2397.7,4795.0,3984.4,26696.0,2745.75,1019628.0,1083.05,3170876.0,838.95,1152663.0,668.9,783559.0,397.75,228990.0,2107.0,3544847.0,115.25,895583.0,588.1,2770682.0,1080.4,1042985.0,443.2,463083.0,3306.15,6070192.0,318.7,579676.0,863.8,270676.0,731.45,1228008.0,963.8,526949.0,1614.55,28120.0,5607.4,6784186.0,152.6,1879068.0,281.85,5379856.0,96.25,2198926.0,898.6,2315930.0,1809.55,287803.0,586.9,2096377.0,602.4,6519204.0,391.05,4337094.0,333.3,833875.0,2091.1,1463042.0,1573.2,2276932.0,248.65,89278.0,1946.4,1766349.0,482.4,384191.0,2076.5,611328.0,899.4,157080263.0,6215.15,0
243,1855642.0,211.3,1625414.0,148.3,100571.0,900.7,880347.0,551.4,2588848.0,1171.3,37204.0,1409.25,31991.0,668.4,3359338.0,348.25,1381658.0,357.55,31938.0,936.0,970555.0,421.6,1344544.0,295.95,216210.0,1000.2,265935.0,2410.8,25574.0,4019.55,71036.0,2687.8,993212.0,1103.1,2434715.0,841.75,1947285.0,665.4,637189.0,398.55,217893.0,2112.7,8682989.0,116.85,703382.0,589.95,3765789.0,1051.45,1816618.0,428.4,899089.0,3357.6,7213051.0,320.45,954314.0,869.55,411354.0,734.65,1964700.0,957.45,496581.0,1610.8,42990.0,5735.75,5305942.0,152.7,2031040.0,283.7,5596330.0,95.05,2238424.0,885.9,3128376.0,1752.6,367015.0,566.05,1170128.0,605.8,5685498.0,380.15,9786753.0,345.8,978474.0,2121.95,2186193.0,1580.45,1387970.0,242.05,94254.0,1935.6,2492057.0,481.95,353237.0,2101.15,983354.0,898.0,168832431.0,6187.25,1
244,1724728.0,216.95,1605475.0,148.4,61710.0,889.35,896874.0,556.6,2727350.0,1119.2,23067.0,1395.2,26710.0,671.05,3067373.0,344.0,1186419.0,351.9,44153.0,919.85,1121043.0,423.15,1597712.0,291.3,149663.0,1020.4,169617.0,2402.3,38556.0,4135.95,35364.0,2677.35,1148577.0,1114.3,3457699.0,809.35,3370190.0,652.5,1334156.0,401.45,350022.0,2092.5,5874233.0,116.5,1157678.0,585.15,2679684.0,1049.9,1580186.0,428.45,1077014.0,3360.05,4441330.0,319.55,985921.0,866.4,426365.0,727.4,2661923.0,974.9,740937.0,1580.55,117812.0,5763.15,2366472.0,152.55,2367708.0,277.35,3615429.0,96.05,2001425.0,875.95,1763719.0,1744.3,141456.0,577.25,1358157.0,601.45,12659764.0,384.15,7856239.0,355.75,804673.0,2090.85,4049568.0,1675.0,1347453.0,234.4,166644.0,1926.55,1043002.0,481.55,146711.0,2065.9,480159.0,878.6,150051986.0,6140.75,0
245,5911722.0,233.85,2734419.0,149.9,117935.0,898.5,942969.0,546.5,3223254.0,1077.15,27957.0,1411.65,18033.0,670.15,4320157.0,341.0,1129122.0,339.1,296598.0,875.6,964562.0,421.95,1447723.0,289.25,1356698.0,1101.3,280269.0,2470.65,9137.0,4186.0,69033.0,2667.7,840148.0,1102.0,2901036.0,805.35,2804076.0,654.25,570933.0,397.8,289656.0,2054.3,7096767.0,111.35,1231490.0,575.05,2582772.0,1037.2,1881535.0,414.45,975400.0,3362.6,6277164.0,316.65,770387.0,856.5,490183.0,712.35,2244866.0,943.65,509621.0,1582.55,29174.0,5615.15,2551806.0,150.3,2588208.0,270.2,4007184.0,95.95,2034671.0,863.9,1851602.0,1704.35,615329.0,551.8,1181409.0,596.1,10752349.0,377.1,7566883.0,360.8,980569.0,2094.65,1755180.0,1697.3,1124814.0,231.8,94646.0,1904.4,2257398.0,481.6,169102.0,2037.85,724878.0,869.95,146060450.0,6078.8,0
246,2934445.0,227.9,1070011.0,146.2,152570.0,872.65,886182.0,530.45,3377013.0,1047.85,14669.0,1411.25,26910.0,675.15,2639867.0,337.75,929293.0,339.75,445462.0,904.35,924373.0,420.85,756369.0,284.7,899631.0,1138.4,259959.0,2470.0,12912.0,4206.35,82816.0,2648.65,1128192.0,1097.4,1768595.0,794.85,2245080.0,645.95,941682.0,393.4,200194.0,2035.95,10337140.0,111.25,1193468.0,574.45,3196440.0,1012.75,1842612.0,414.65,806523.0,3336.85,4258430.0,319.9,652617.0,836.85,332538.0,716.2,1963582.0,928.85,720325.0,1587.1,20390.0,5661.35,3459730.0,149.15,3123710.0,265.85,3214426.0,95.35,2781812.0,852.6,2433425.0,1672.95,527415.0,511.6,1467780.0,597.95,8282471.0,360.0,7567835.0,352.45,500341.0,2087.15,704274.0,1685.55,815462.0,231.8,279587.0,1884.3,4462881.0,482.6,165926.0,2026.15,1383234.0,879.9,153812590.0,6018.05,0
247,2343437.0,229.3,1387266.0,145.25,55546.0,879.85,922754.0,522.85,7802443.0,1030.6,25470.0,1401.05,32702.0,672.45,3225546.0,332.5,1593508.0,333.2,139211.0,889.0,1255137.0,412.3,1049512.0,285.1,350081.0,1139.45,199328.0,2470.05,5045.0,4202.95,100263.0,2602.0,763673.0,1096.15,2038529.0,791.4,2640271.0,633.7,1640501.0,384.0,238186.0,2001.6,8827958.0,113.95,1279188.0,582.75,3531697.0,1014.9,3499006.0,403.25,585939.0,3332.05,4931211.0,314.15,614394.0,833.05,433177.0,718.25,2871749.0,919.8,446748.0,1579.5,31544.0,5599.35,4404826.0,149.5,2978852.0,268.85,2764367.0,96.0,1918164.0,844.4,6040815.0,1697.05,568704.0,521.35,3626443.0,608.1,7488788.0,366.2,8165099.0,357.75,604169.0,2049.0,579363.0,1660.45,792038.0,232.85,79055.0,1866.45,1576669.0,482.3,226050.0,2021.3,2110595.0,895.35,162538228.0,5989.6,1
